бермудские острова	l21546
симав	c30116
кютахья	c30114
тавшанли	c30115
kütahya merkez	c41615
хисарджык	c41054
думлупынар	c41053
доманич	c41052
чавдархисар	c41051
гедиз	c30119
эмет	c30118
шапхане	c41056
асланапа	c41050
алтынташ	c41049
провинция самсун	r22305
терме	c31988
везиркёпрю	c31989
салипазари	c30112
айваджык	c40984
чаршамба	c30110
бафра	c30111
ондокузмайис	c31991
хавза	c31990
кавак	c31993
алачам	c31992
ладик	c31987
атакум	c40981
самсун	c26711
джаник	c40980
илкадым	c40979
якакент	c40985
провинция ыспарта	r22304
саркикараагак	c30105
ялвац	c30104
isparta merkez	c41616
ыспарта	c29515
улуборлу	c31958
гёнен	c41015
гелендост	c41014
кечиборлу	c31957
эгирдир	c31956
сениркент	c41016
провинция эскишехир	r22303
михалыччык	c41039
сейитгази	c41041
бейликова	c30101
сиврихисар	c30103
чифтелер	c30102
одунпазары	c41031
эскишехир	c26733
тепебашы	c41032
махмудие	c41037
инёню	c41036
алпу	c41033
провинция кайсери	r22302
ешилхисар	c32088
меликжази	c30094
пинарбаши	c32086
томарза	c32087
бюньян	c32085
сарыоглан	c41004
сарыз	c41005
инджесу	c41001
коджасинан	c41002
кайсери	c26600
провинция маниса	r22301
акхисар	c30080
кула	c30078
селенди	c41059
саруханлы	c41058
тургутлу	c30075
маниса	c30074
салихли	c30077
сома	c30076
демирцы	c32022
киркажач	c32023
гёлмармара	c32028
алашехир	c30079
юнусемре	c41623
ахметлы	c32026
провинция эрзурум	r22300
тортум	c41029
караязы	c41022
кёпрюкёй	c41023
азизие	c41020
эрзурум	c11510
узундере	c41030
шенкая	c41027
нарман	c41024
олур	c41025
олту	c31883
пазарьёлу	c41026
карачобан	c31887
ашкале	c31886
пасинлер	c31885
хорасан	c31884
хинис	c30062
чат	c41019
испир	c41021
паландёкен	c41625
провинция мардин	r22343
артуклу	c41596
даргечит	c32017
омерли	c41191
дерик	c32016
мардин	c29507
нусайбин	c30354
мидьят	c30355
кизилтепе	c30356
провинция муш	r22342
muş merkez	c41589
муш	c30349
коркут	c41244
малазгирт	c32007
хаской	c32008
провинция орду	r22341
гёлкой	c32002
айбасты	c32000
корган	c32001
першембе	c32004
гюргентепе	c32005
алтынорду	c41583
кабаташ	c41287
улубей	c41289
кумру	c30343
юнье	c30342
орду	c30341
чаталпынар	c41282
гюльялы	c41284
фатса	c30344
провинция бурдур	r22317
караманлы	c41109
бурдур	c30196
чавдыр	c41107
ешилова	c41112
буджак	c32065
гёльхисар	c32066
тефенни	c41111
провинция адыяман	r22347
тут	c41237
синджик	c41236
самсат	c41235
гергер	c41234
бесни	c30386
кяхта	c30385
адыяман	c30384
гёльбаши	c32053
провинция кыршехир	r22346
каман	c32047
акпинар	c32051
кыршехир	c30382
муджур	c32048
чичекдагы	c32049
провинция денизли	r22309
аджипаям	c31927
серинхисар	c31928
хоназ	c31929
сарайкой	c31924
бозкурт	c41091
бабадаг	c41087
чардак	c41094
denizli merkez	c41581
pamukkale	c41580
денизли	c29501
кале	c31930
чиврил	c31923
тавас	c31926
провинция кахраманмараш	r22344
пазарджик	c32039
гоксун	c30372
элбистан	c30373
кахраманмараш	c30371
афсин	c30374
тюркоглу	c32040
чаглаянджерит	c32041
провинция тунджели	r22340
мазгирт	c41259
чемишгезек	c41258
пертек	c31974
тунджели	c30339
tunceli merkez	c41555
пюлюмюр	c41262
провинция болу	r22329
еничага	c41127
менген	c41124
болу	c28319
дёртдиван	c41122
гереде	c31855
провинция невшехир	r22328
гюльшехир	c32103
невшехир	c29498
хаджыбекташ	c41233
аджыгёл	c41232
козакли	c32104
nevşehir merkez	c41585
деринкую	c32102
аванос	c30273
ургаб	c30272
провинция айдын	r22679
куюджак	c32063
кушадасы	c20889
efeler	c41528
айдын	c30163
бухаркент	c30170
чине	c30166
назилли	c30165
сёке	c30164
дидим	c32055
султанхисар	c41131
кешк	c32062
инджирлиова	c32056
боздоган	c32061
енипазар	c41132
герменджик	c32058
провинция кырыккале	r22325
бахшылы	c41178
балышейх	c41179
каракечили	c41182
kırıkkale merkez	c41543
делидже	c41181
кескин	c30263
кырыккале	c30262
яхшихан	c32052
провинция карс	r22324
арпачай	c41160
карс	c26675
акьяка	c41159
кагызман	c32036
селим	c30259
сарыкамыш	c30258
провинция текирдаг	r22310
ergene	c41551
текирдаг	c21033
чорлу	c30150
черкезкёй	c30151
сюлейманпаша	c41552
мармара эреглиси	c31879
муратлы	c31876
сарай	c31874
хайраболу	c31875
капакли	c31872
малкара	c31873
провинция килис	r22326
килис	c30264
элбейли	c41068
провинция токат	r22321
зиле	c30237
сулусарай	c41211
ешильюрт	c41212
решадие	c31986
артова	c41209
токат	c29514
пазар	c30243
эрбаа	c30240
никсар	c30239
турхал	c30238
провинция битлис	r22320
гюроймак	c31907
хизан	c31908
адилсеваз	c30236
ахлат	c30235
татван	c30234
битлис	c30233
провинция малатья	r22323
кале	c41187
батталгази	c32029
языхан	c41190
darende	c32033
акчадаг	c32031
доганшехир	c32030
malatya merkez	c41617
ешильюрт	c32035
хекимхан	c30250
малатья	c30249
провинция нигде	r22322
алтунхисар	c41099
улукышла	c32006
нигде	c30246
niğde merkez	c41584
чифтлик	c41101
бор	c30247
провинция стамбул	r22287
султанбейли	c40850
кягытхане	c40865
авджылар	c40852
шишли	c40872
ускюдар	c40870
фатих	c40871
бейкоз	c40858
бейоглу	c40859
эюп	c40874
картал	c40863
зейтинбурну	c40862
кадыкой	c29929
багджылар	c40784
бейликдюзю	c40846
стамбул	c11508
кючюкчекмедже	c40864
пендик	c40867
малтепе	c40866
гюнгёрен	c40861
санджактепе	c40849
бююкчекмедже	c40848
тузла	c40847
бакыркёй	c40785
эсеньюрт	c40845
сарыер	c40844
умрание	c40869
султангази	c40868
чаталджа	c35990
арнавуткой	c29931
силиври	c39259
провинция кыркларели	r22345
kırklareli merkez	c41612
лулебургаз	c30379
пехливанкёй	c41104
кыркларели	c30378
бабаэски	c32045
визе	c30381
провинция синоп	r22330
синоп	c11507
дикмен	c41273
боябат	c30284
герзе	c31869
тюркели	c41276
сарайдюзю	c41275
эрфелек	c41274
аянджик	c31870
дураган	c31871
провинция кастамону	r22308
джиде	c41168
сейдилер	c41177
кюре	c41174
кастамону	c30140
шенпазар	c41176
араш	c30142
деврекани	c41170
бозкурт	c41166
ханёню	c41172
тосья	c30146
ташкёпру	c32037
абана	c41163
инеболу	c32038
аздавай	c41165
ихсангази	c41173
чаталзейтин	c41167
аглы	c41164
провинция гюмюшхане	r22332
кёсе	c41152
кюртюн	c41153
торул	c41154
келкит	c31921
ширан	c31922
гюмюшхане	c30297
провинция измир	r22288
тира	c40876
мендерес	c40875
байындыр	c40878
байраклы	c40879
селчук	c29947
чешме	c20851
каршыяка	c40889
чигли	c40883
буджа	c40882
борнова	c40881
газиэмир	c40885
измир	c11505
дикили	c29954
кемальпаша	c29956
бергама	c29953
кираз	c31861
менемен	c29936
алиага	c29937
торбали	c29934
одемиш	c29935
урла	c29933
конак	c40890
сеферихисар	c40892
провинция бурса	r22289
харманджык	c40960
каракабей	c29978
инегол	c29979
енишехир	c29981
гемлик	c29980
бурса	c11504
орхангази	c29976
бююкорхан	c40958
кестель	c29977
изник	c31858
орханели	c40963
гюрсу	c40959
муданья	c40962
мустафакемальпаша	c31857
провинция аксарай	r22682
ортакёй	c30048
гюзельюрт	c40990
гюлагач	c40989
aksaray merkez	c41540
аксарай	c30047
провинция эрзинджан	r22334
терджан	c41306
рефахие	c41305
кемах	c41302
илич	c41301
чайырлы	c41300
узумлу	c30301
эрзинджан	c30300
провинция адана	r22680
сарычам	c40908
саимбейли	c40912
чукурова	c40907
адана	c11501
туфанбейли	c40913
козан	c29962
джейхан	c29965
имамоглу	c29964
позанты	c29966
феке	c40911
караисалы	c40909
аладаг	c40910
сейхан	c40905
провинция бартын	r22681
амасра	c41150
куруджашиле	c41151
bartın merkez	c41547
бартын	c30198
улус	c30199
провинция агры	r22686
ташлычай	c41064
тутак	c41065
хамур	c41063
диядин	c30393
элешкирт	c30394
догубаязит	c30389
патнос	c30388
агры	c30387
провинция афьонкарахисар	r22687
кей	c30228
болвадин	c30229
дазкыры	c41141
эвджилер	c41142
кызылёрен	c41145
ихсание	c41144
султандагы	c41147
баят	c41140
сынанпаша	c41146
афьонкарахисар	c30225
сандикли	c30226
динар	c30227
эмирдаг	c31894
исджехисар	c31895
afyonkarahisar merkez	c41499
шухут	c30230
ходжалар	c41143
провинция ардахан	r22684
чылдыр	c41249
ханак	c41251
дамал	c41250
пософ	c41252
гёле	c32081
ардахан	c30266
провинция сакарья	r22311
сапанджа	c41204
sakarya	c30159
арифие	c41200
гейве	c31995
памукова	c31996
adapazarı	c41592
кайнарджа	c30162
хендек	c30161
карасу	c30160
акъязы	c41199
провинция балыкесир	r22688
гёмеч	c41075
хавран	c31903
бигадич	c30132
сусурлук	c30133
balıkesir merkez	c41532
гёнен	c30129
айвалык	c30128
бурхание	c30127
эдремит	c30126
балыкесир	c30125
саваштепе	c31905
мармара	c41078
маньяс	c41077
сындыргы	c31901
ивринди	c41076
altıeylül	c41537
дурсунбей	c31898
кепсут	c30137
бандырма	c30130
эрдек	c31897
провинция байбурт	r22689
байбурт	c30292
провинция артвин	r22685
artvin merkez	c41525
юсуфели	c41138
борчка	c30290
хопа	c31892
архави	c31893
шавшат	c41137
ардануч	c41135
артвин	c30289
провинция биледжик	r22327
османели	c32082
пазарьери	c41230
bilecik merkez	c41546
биледжик	c30268
бозуюк	c30269
провинция ялова	r21797
ялова	c28842
чифтликкёй	c32127
алтынова	c32129
чинарджик	c32128
yalova merkez	c41538
армутлу	c41271
провинция сивас	r22318
йылдызели	c32075
гурун	c32074
кангал	c32073
дивриги	c32072
зара	c32071
сушехри	c32070
коюлхисар	c41120
шаркышла	c32069
улаш	c41121
сивас	c29506
хафик	c41118
имранлы	c41119
гемерек	c41116
гёлова	c41117
акынджылар	c41113
sivas merkez	c41575
провинция эдирне	r22319
энез	c41215
эдирне	c11509
мерич	c41217
узункёпрю	c30220
кешан	c30221
хавса	c31882
ипсала	c31881
edirne merkez	c41597
провинция хаккяри	r22338
хаккяри	c30334
юксекова	c30335
шемдинли	c31971
провинция ушак	r22339
баназ	c31973
эшме	c30338
ушак	c30337
uşak merkez	c41570
карахаллы	c41277
улубей	c41279
сиваслы	c41278
провинция шанлыурфа	r22336
акчакале	c30310
сиверек	c30307
суруч	c30306
вирансехир	c30305
шанлыурфа	c30304
халфети	c41299
бозова	c41298
хилван	c31960
биреджик	c30309
чейланпинар	c30308
провинция чорум	r22337
чорум	c30329
сунгурлу	c30330
османкик	c30331
каргы	c41265
лачин	c41266
меджитёзю	c41267
аладжа	c31961
провинция ван	r22312
чалдыран	c31911
мурадие	c31910
эдремит	c31913
башкале	c31912
геваш	c31914
сарай	c41073
озалп	c41072
эрджиш	c30177
ван	c29511
провинция ыгдыр	r22335
тузлуджа	c32130
ыгдыр	c30302
провинция зонгулдак	r22314
zonguldak merkez	c41524
чайджума	c31943
деврек	c30188
гёкчебей	c31946
эрегли	c30187
зонгулдак	c30186
килымлы	c31942
алаплы	c31944
козлу	c31941
провинция дюздже	r22333
кайнашлы	c31939
гёльяка	c31938
düzce merkez	c41530
акчакоджа	c31937
гюмюшова	c41097
джумаери	c41096
дюздже	c30299
провинция чанаккале	r22316
бозджаада	c41224
эджеабат	c41225
гёкчеада	c41226
айваджик	c31970
чан	c31964
енидже	c41227
бига	c30193
лапсеки	c31968
чанаккале	c30192
гелиболу	c31965
байрамич	c31966
эзине	c31967
провинция бингёль	r22331
карлыова	c41220
солхан	c31906
бингёль	c30295
генч	c30296
bingöl merkez	c41549
провинция элязыг	r22295
агын	c41042
палу	c32118
баскиль	c41045
маден	c41047
сивридже	c41048
кованджылар	c32116
каракочан	c32117
элязыг	c30025
elazığ merkez	c41608
провинция конья	r22294
хююк	c40947
доганхисар	c40942
сельчуклу	c40950
мерам	c40949
бозкир	c31868
конья	c28327
сараёну	c31865
кумра	c30014
циханбейли	c31863
кадинханы	c31864
эрегли	c30013
карапинар	c30012
кулу	c30011
сейдишехир	c30010
бейшехир	c30017
акшехир	c30015
илгын	c31862
провинция диярбакыр	r22297
kayapınar	c41600
sur	c41601
коджакёй	c40997
лидже	c31933
хани	c31935
диярбакыр	c30031
эргани	c30033
силван	c30032
бисмил	c30034
провинция мугла	r22296
ятаган	c32010
датча	c32012
кёйджегиз	c32014
даламан	c21445
ментеше	c41590
бодрум	c21178
seydikemer	c41591
мугла	c30026
милас	c30027
мармарис	c21257
ортаджа	c30028
фетие	c20971
ула	c40987
провинция йозгат	r22291
чандыр	c40955
айдынджык	c40954
енифакылы	c40957
yozgat merkez	c41526
чекерек	c31951
акдагмадени	c31948
сарикая	c31949
сарайкент	c31954
йозгат	c29992
йеркой	c29993
соргун	c29994
божазлиян	c31950
чайиралан	c31953
шафаатли	c31952
провинция коджаэли	r22290
измит	c28328
гебзе	c29986
дарыджа	c32089
i̇zmit	c41614
башискеле	c32091
картепе	c32090
кандира	c32093
диловасы	c32092
чайырова	c40972
голкук	c29989
карамерсэль	c29988
дериндже	c29990
корфез	c29987
провинция хатай	r22293
хатай	c28329
antakya	c41586
эрзин	c32107
пайяс	c32106
самандаг	c32105
хасса	c32113
кумлу	c40934
кирихан	c30004
искендерун	c30005
дортиол	c30006
белен	c30007
рейханлы	c30003
провинция газиантеп	r22292
ислахие	c40966
каркамыш	c40968
газиантеп	c28545
нурдагы	c32078
шехиткамиль	c40970
низип	c29997
провинция сиирт	r21795
сиирт	c28840
ширван	c41248
байкан	c41246
курталан	c30171
провинция османие	r21794
osmaniye merkez	c41531
кадирли	c29963
топраккале	c31849
дюзичи	c31848
османие	c28839
бахче	c30276
провинция анталья	r21779
каш	c40919
газипаша	c29961
финике	c31854
аланья	c11502
кемер	c21091
серик	c29957
гюндогмуш	c40921
анталья	c11511
аксеки	c40923
демре	c31852
кумлуджа	c29958
манавгат	c28322
коркутели	c40915
аксу	c28317
провинция ширнак	r21796
ширнак	c28841
идиль	c32114
силопи	c30204
джизре	c30205
провинция трабзон	r22299
аракли	c31976
ёмра	c31981
трабзон	c23361
ортахисар	c41554
арсин	c31979
сюрмене	c31978
оф	c30057
вакфикебир	c30056
чайкара	c41006
дернекпазары	c41007
мачка	c31984
чаршибаши	c31985
хайрат	c41009
акчаабат	c30059
бешикдазу	c30058
провинция батман	r22298
хасанкейф	c40993
герджюш	c40992
batman merkez	c41544
бешири	c30051
батман	c29508
козлук	c32067
провинция мерсин	r21793
эрдемли	c29969
айдынджык	c32099
мут	c29968
анамур	c29970
акдениз	c40924
бозязы	c32095
тарсус	c29967
гюльнар	c40929
мерсин	c28838
мезитли	c40925
силифке	c21032
провинция карабюк	r21792
енидже	c32121
karabük merkez	c41536
эскипазар	c41239
эфлани	c41238
карабюк	c28837
сафранболу	c30274
гана	l20802
науру	l21582
эфиопия	l20768
федеративные штаты микронезии	l21580
остров яп	r21633
колониа	c29596
оман	l21586
мухафаза эль-вуста	r23516
дукм	c41501
мухафаза маскат	r23511
маскат	c21587
мухафаза дофар	r23510
салала	c28360
мухафаза мусандам	r23512
хасаб	c32926
доминиканская республика	l20917
провинция ла-романа	r22838
ла-романа	c32358
провинция пуэрто-плата	r22846
пуэрто плата	c26683
провинция самана	r22848
самана	c26667
провинция сантьяго	r22854
сантьяго	c28739
национальный округ	r22827
игуэро	c36609
санто-доминго	c20960
провинция сан-хуан	r22851
сан-хуан-де-ла-магуана	c28979
провинция ла-альтаграсия	r22836
пунта кана	c22271
новая каледония	l21584
демократическая республика конго	l20762
антигуа и барбуда	l20856
мадагаскар	l20854
финляндия	l123
итя-уусимаа	r22031
порвоо	c31005
похьянмаа	r22369
вааса	c26972
северное саво	r22366
ийсалми	c35884
куопио	c23378
варкаус	c32474
похьойс-похьянмаа	r22363
куусамо	c20888
оулу	c26680
сатакунта	r22023
пори	c26729
уусимаа	r22030
вантаа	c40300
ловийса	c39364
эспоо	c35890
лохья	c35891
хельсинки	c10493
хювинкяа	c39671
аландские острова	r22033
мариехамн	c32472
лапландия	r22362
ивало	c28571
рованиеми	c20732
энонтекиё	c32477
киттиля	c26917
кеми	c26723
варсинайс-суоми	r22026
турку	c10494
сало	c35877
кайнуу	r22364
кухмо	c40765
каяани	c26916
этеля-саво	r22367
савонлинна	c32473
пиексямяки	c35885
миккели	c31009
кески-суоми	r22025
ювяскюля	c28570
пирканмаа	r22370
халли	c20940
тампере	c26710
валкеакоски	c35889
похьойс-карьяла	r22365
нурмес	c40764
йоенсуу	c28572
тохмаярви	c28228
китеэ	c40758
пяйят-хяме	r22028
хейнола	c35879
лахти	c21126
канта-хяме	r22029
рийхимяки	c35881
хямеэнлинна	c31004
этеля-похьянмаа	r22368
сейняйоки	c28600
кюменлааксо	r22032
коувола	c22917
котка	c28226
хамина	c39351
этеля-карьяла	r22027
иматра	c28227
лаппеэнранта	c28229
рауха	c71373
словения	l122
савиньска	r22538
целе	c31787
подравска	r22540
марибор	c31790
обално-крашка	r22532
копер	c31781
словакия	l121
кошицкий край	r22501
кошице	c10490
михаловце	c28249
рожнява	c34601
жилинский край	r22500
жилина	c26671
прешовский край	r22503
попрад	c21267
прешов	c31768
нитранский край	r22502
нитра	c31767
трнавский край	r22505
пьештяны	c34604
тренчинский край	r22504
тренчин	c31769
братиславский край	r22499
братислава	c10489
банскобистрицкий край	r22498
зволен	c28435
жьяр-над-гроном	c36129
польша	l120
малопольское воеводство	r21962
грыбув	c31028
крыница	c20876
мысленице	c31039
величка	c31025
суха-бескидзка	c31048
бжеско	c31020
бохня	c31022
лиманова	c31036
вадовице	c31024
горлице	c31027
мшана-дольна	c32287
освенцим	c31014
закопане	c21498
тарнув	c31011
новы-тарг	c31012
краков	c10474
андрыхув	c31018
беч	c31019
лодзинское воеводство	r21963
тушин	c31212
серадз	c31183
скерневице	c31180
лович	c31202
кутно	c31187
колюшки	c31197
пётркув-трибунальски	c31185
стрыкув	c31210
злочев	c32452
велюнь	c31193
томашув-мазовецки	c31211
згеж	c31181
лодзь	c10475
радомско	c31184
подляшское воеводство	r21959
кузница белостоцкая	c39270
сувалки	c31213
ломжа	c31214
августов	c31215
граево	c31221
сокулка	c31233
бельск-подляски	c32261
белосток	c10471
поморское воеводство	r21958
члухув	c31332
гдыня	c26484
мальборк	c26483
сопот	c21513
тчев	c31310
квидзын	c31308
хойнице	c31309
гданьск	c21417
вейхерово	c31303
черск	c31331
слупск	c31305
лемборк	c31307
куявско-поморское воеводство	r21966
быдгощ	c26485
влоцлавек	c31519
торунь	c31520
иновроцлав	c31521
грудзёндз	c31522
бродница	c31526
свеце	c31543
нове-място-любавске	c31540
жнин	c31532
накло-над-нотецью	c31539
нижнесилезское воеводство	r21967
дзержонюв	c31119
явор	c31179
валбжих	c31111
згожелец	c31110
олесница	c31113
свидница	c31112
любин	c31115
олава	c31114
еленя-гура	c31117
легница	c31116
польковице	c31164
любомеж	c31153
венглинец	c32444
болеславец	c31120
всхова	c31129
кудова-здруй	c31147
клодзко	c31145
зомбковице-слёнске	c31142
злоты-сток	c31141
хойнув	c31174
ольшина	c31158
стшегом	c31170
сыцув	c32439
вроцлав	c21392
любушское воеводство	r21964
нова-суль	c31460
костшин-над-одрой	c31471
зелёна-гура	c31459
мендзыжеч	c31474
шпротава	c31486
тожим	c31484
свебодзин	c31477
люблинское воеводство	r21965
рыки	c31514
томашув-любельски	c31515
мендзыжец-подляски	c31507
красныстав	c31504
лукув	c31490
красник	c31491
бяла-подляска	c31492
люблин	c31493
хелм	c31494
тересполь	c22882
пулавы	c31489
билгорай	c31497
замосьц	c31487
западно-поморское воеводство	r21953
славно	c31369
щецин	c28565
новогард	c31365
валч	c31347
кошалин	c31340
колобжег	c31341
свиноуйсьце	c31337
щецинек	c31336
мазовецкое воеводство	r21968
соколув-подляски	c31607
сохачев	c31565
плоньск	c31600
пясечно	c31560
варшава	c10472
млава	c31594
новы-двур-мазовецки	c31596
жирардув	c31555
вышогруд	c31572
седльце	c31557
плоцк	c10476
цеханув	c31564
радом	c31558
отвоцк	c31566
остроленка	c31561
груец	c31577
острув-мазовецка	c31598
минск-мазовецки	c31562
свентокшиское воеводство	r21957
кельце	c31380
влощова	c31382
енджеюв	c31383
стараховице	c31377
опатув	c31387
островец-свентокшиски	c31379
скаржиско-каменна	c31378
сандомир	c31390
силезское воеводство	r21956
цешин	c31299
скочув	c31292
рыдултовы	c31290
тошек	c31295
гливице	c31267
бытом	c31266
бельско-бяла	c31263
хожув	c31262
рыбник	c31249
тарновске-гуры	c31245
щекоцины	c31301
заверце	c31241
жоры	c31240
водзислав-слёнски	c31243
забже	c31242
люблинец	c31281
пшув	c31285
пысковице	c31287
пщина	c31286
тыхы	c31244
катовице	c10473
ченстохова	c31258
ястшембе-здруй	c31257
кенты	c31276
рацибуж	c31251
подкарпатское воеводство	r21960
кросно	c31399
мелец	c31398
пшемысль	c31397
санок	c31396
тарнобжег	c31395
лежайск	c31413
ропчице	c31421
пшеворск	c31420
кольбушова	c31411
жешув	c26725
ясло	c31403
сталова воля	c31402
ярослав	c31400
ниско	c31417
ланьцут	c31412
нова-сажина	c32276
варминско-мазурское воеводство	r21954
ольштынек	c31631
илава	c31614
ольштын	c31615
элк	c31612
эльблонг	c26482
мронгово	c31628
щитно	c31641
кентшин	c31623
бранево	c29116
пиш	c31635
гижицко	c31618
оструда	c31613
опольское воеводство	r21961
прашка	c31453
глогувек	c31437
бжег	c31432
ополе	c31433
ныса	c31430
кендзежин-козле	c31431
гожув-слёнски	c32279
озимек	c31449
крапковице	c31445
прудник	c31454
стшельце-опольске	c31455
добродзень	c31441
гродкув	c31440
олесно	c31450
пачкув	c31452
ключборк	c31444
великопольское воеводство	r21955
пила	c31052
острув-велькопольский	c31053
лешно	c31054
конин	c31055
калиш	c31056
гнезно	c31057
равич	c31094
вжесня	c31059
кемпно	c31071
остшешув	c31090
костшин	c31074
кротошин	c31078
гродзиск-велькопольски	c31066
ходзеж	c31104
ястрове	c32219
познань	c10477
коло	c31073
швеция	l127
лен уппсала	r22372
уппсала	c31663
лен блекинге	r22379
роннебю	c29486
лен эстергётланд	r22374
норрчёпинг	c34666
линчёпинг	c26603
лен сёдерманланд	r22373
катринехольм	c37539
нючёпинг	c31664
лен йёнчёпинг	r22375
йенчепинг	c26720
вернаму	c37543
лен вестерботтен	r22390
вилхельмина	c33214
шеллефтео	c29637
умео	c26707
люккселе	c33212
хемаван	c33213
лен норрботтен	r22391
елливаре	c33210
лулео	c26706
арвидсьяур	c28737
кируна	c29488
пайяла	c39040
лен стокгольм	r22371
сёдертелье	c37583
стокгольм	c10519
лен крунуберг	r22376
векшё	c29444
лен кальмар	r22377
кальмар	c29483
оскархамн	c29773
эммабода	c37548
лен емтланд	r22389
эстерсунд	c26712
свег	c39039
лен вестерноррланд	r22388
крамфорс	c33211
эрншёльдсвик	c29487
лен евлеборг	r22387
евле	c39362
лен даларна	r22386
мура	c29484
лен готланд	r22378
висбю	c26940
лен эребру	r22384
эребру	c33215
лен вермланд	r22383
карлстад	c29772
турсбю	c39038
хагфорс	c37565
лен вестра-гёталанд	r22382
гётеборг	c10518
уддевалла	c37556
тролльхеттан	c29485
лен халланд	r22381
хальмстад	c29767
варберг	c34672
лен сконе	r22380
мальмё	c10521
лунд	c28427
хеслехольм	c28429
хельсингборг	c28428
кристианстад	c28430
швейцария	l126
кантон швиц	r22417
кантон шаффхаузен	r22416
шаффхаузен	c31703
кантон санкт-галлен	r22415
санкт-галлен	c31702
кантон золотурн	r22414
кантон берн	r22413
берн	c10513
кантон фрибур	r22398
фрибур	c28244
кантон цюрих	r22411
цюрих	c10515
винтертур	c36376
кантон женева	r22410
женева	c10514
кантон нёвшатель	r22409
нёвшатель	c31699
кантон люцерн	r22392
люцерн	c28245
кантон цуг	r22397
цуг	c31691
базель-ланд	r22400
листаль	c31692
базель-штадт	r22399
базель	c22253
граубюнден	r22403
кур	c20852
ароза	c32783
аргау	r22404
арау	c31695
баден	c10512
тургау	r22405
тичино	r22406
лугано	c28621
локарно	c32784
беллинцона	c31697
во	r22407
монтрё	c32785
лозанна	c10520
ирландия	l10063
графство голуэй	r22470
голуэй	c26714
мейо	r22472
нок	c29392
графство корк	r22466
корк	c22284
графство слайго	r22474
слайго	c31734
клэр	r22465
шеннон	c22241
графство уотерфорд	r22469
уотерфорд	c29028
графство килкенни	r22455
килкенни	c28273
графство дублин	r22476
дублин	c10426
франция	l124
верхняя нормандия	r22268
гавр	c28580
руан	c29894
иль-де-франс	r22269
париж	c10502
лиль	c21149
мант-ла-жоли	c34619
аквитания	r22265
ажен	c37479
байонна	c32721
бержерак	c29050
биарриц	c21132
бордо	c10496
по	c34606
бретань	r22266
кемпер	c32725
лорьян	c32724
брест	c10497
сен-бриё	c34611
ланьон	c34610
ренн	c29893
бургундия	r22267
шалон-сюр-сон	c34614
дижон	c10498
невер	c37486
монсо-ле-мин	c34613
санс	c34612
дордонь	r23627
периге	c37166
юг — пиренеи	r22286
тулуза	c10504
тарб	c28579
родез	c28578
каор	c37531
монтобан	c37533
альби	c37532
кастр	c36934
шампань — арденны	r22284
реймс	c32171
эльзас	r22285
мюлуз	c23574
кольмар	c32759
страсбург	c21081
франш-конте	r22282
бельфор	c34653
безансон	c29897
доль	c33198
центр	r22283
орлеан	c28941
тур	c27000
блуа	c32757
вьерзон	c34656
рона — альпы	r22280
гренобль	c28191
сент-этьен	c34649
валанс	c34646
лез арк	c32749
бурк-ан-брес	c34648
куршевель	c20886
анси	c32743
шамбери	c26970
лион	c10499
роан	c37519
страна луары	r22281
сен-назер	c32753
ла-рош-сюр-йон	c34652
сомюр	c32754
ле-ман	c37524
анже	c27006
нант	c26700
во	r22407
пуату — шаранта	r22279
ла-рошель	c29051
ангулем	c37516
ньор	c37515
пуатье	c27002
сент	c34645
прованс — альпы — лазурный берег	r22278
ментона	c32740
фрежюс	c32642
ницца	c10500
экс-ан-прованс	c29496
марсель	c10501
тулон	c26724
арль	c32738
авиньон	c27005
канны	c21413
мирамас	c37514
антиб	c32737
лотарингия	r22273
мец	c29895
нанси	c32729
эпиналь	c34626
лимузен	r22272
брив-ла-гайард	c28713
лимож	c26718
лангедок — руссильон	r22271
монпелье	c27004
нарбонн	c28190
каркасон	c32728
безье	c29433
перпиньян	c21244
ним	c29066
корсика	r22270
бастия	c26704
кальви	c26668
аяччо	c10495
пикардия	r22277
компьень	c34642
амьен	c29896
альбер	c40138
бове	c37510
овернь	r22276
виши	c21385
клермон-ферран	c28567
мулен	c34638
шаспюзак	c37184
орийак	c36932
нор — па-де-кале	r22275
валансьен	c34632
лилль	c23379
азбрук	c37503
аррас	c37501
кале	c32733
нижняя нормандия	r22274
довиль	c21483
кан	c26719
изер	r23638
вьен	c70361
пакистан	l10102
провинция белуджистан	r23439
кветта	c36766
гвадар	c36765
турбат	c36764
панджгур	c36774
провинция синд	r23441
навабшах	c36778
карачи	c10615
хайдарабад	c29034
даду	c36763
суккур	c36772
провинция хайбер-пахтунхва	r23440
читрал	c36779
саиду-шариф	c39220
пешавар	c26936
федеральная столичная территория	r23446
исламабад	c10614
провинция пенджаб	r23445
файсалабад	c36770
рахимъярхан	c36771
мултан	c36157
лахор	c10616
бахавалпур	c36769
сиялкот	c36768
гилгит-балтистан	r23444
гилгит	c36777
мьянма	l10100
непал	l10101
карнали	r23428
джумла	c37269
симикот	c37268
багмати	r23438
катманду	c10613
мечи	r23436
бхадрапур	c37183
нараяни	r23434
бхаратпур	c28396
коси	r23435
биратнагар	c36152
лумбини	r23432
бхайрава	c21224
джанакпур	r23433
джанакпур	c37181
гандаки	r23430
покхара	c28394
дхаулагири	r23431
джомсом	c28389
